Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"SDC CONTRACTING, INC.",9/28/18,4/20/20,455260.86,General Services Administration,DEFINITIVE CONTRACT,GA,111120
GEORGIA PECAN FARMS LLC,11/1/18,1/31/19,10167.32,Department of Agriculture,PURCHASE ORDER,GA,111335
GEORGIA PECAN FARMS LLC,11/1/17,3/1/18,32788.04,Department of Agriculture,PURCHASE ORDER,GA,111335
"ROCK SPRING CAPITAL, LLC",4/9/18,5/14/19,28260,Department of the Interior,PURCHASE ORDER,GA,111421
"AGRI-STARTS, INC.",2/20/18,8/10/18,20604.6,Department of Agriculture,PURCHASE ORDER,GA,111422
"PROJECT MANAGER USA, INC.",5/10/18,4/22/19,34726.45,Department of Defense,PURCHASE ORDER,GA,112112
CHRISTON ENTERPRISES INC,1/1/19,6/30/19,63858.87,Department of Justice,PURCHASE ORDER,GA,112120
"CHARLES RIVER LABORATORIES, INC.",8/10/17,9/4/18,151840,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/5/16,9/4/17,146593,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/5/14,9/9/16,270396,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",1/31/14,8/28/14,80192,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",11/25/13,12/26/13,22464,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/10/13,8/28/14,19960,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,8/10/17,9/23/18,138505.8,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,9/24/14,9/23/17,382143.4,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,12/18/13,8/31/14,95975.6,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,8/29/13,10/31/13,11174,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",3/1/16,6/13/16,29097,Department of Agriculture,PURCHASE ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/7/18,9/6/19,168532,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,9/24/18,9/23/19,140129.25,Department of Health and Human Services,DELIVERY ORDER,GA,112310
FEDERAL DESIGNS INC,8/13/18,11/30/18,46279,Department of the Interior,PURCHASE ORDER,GA,112390
"JAMBBAS, LLC",12/3/18,12/18/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",10/15/18,10/31/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",8/2/18,8/22/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",7/5/18,7/10/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",4/10/18,5/8/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",3/5/18,3/8/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",2/21/18,3/9/18,6580,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",1/19/18,1/25/18,0,Department of Defense,BPA CALL,GA,112420
GEORGIA SELECT FISH FARM LLC,4/25/18,5/21/18,14950,Department of Defense,PURCHASE ORDER,GA,112511
ENVIGO GLOBAL SERVICES INC.,9/22/17,2/28/20,179661.59,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,112930
UNIVERSITY OF WASHINGTON,9/15/17,9/14/19,423422.71,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,112930
DSP RESEARCH SERVICES LLC,9/5/18,9/4/19,70880,Department of Health and Human Services,PURCHASE ORDER,GA,112930
"WORLD WIDE PRIMATES, INC.",8/31/18,5/31/20,158138,Department of Health and Human Services,PURCHASE ORDER,GA,112930
"IK9, LLC",2/16/16,3/12/16,141440,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
TRIPLE F FARMS INC,3/29/18,4/30/18,108404,Department of Health and Human Services,PURCHASE ORDER,GA,112990
ARETE CANINE LLC,9/11/18,9/11/18,17800,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,7/16/18,7/16/18,35600,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,2/28/18,3/13/18,16000,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,2/28/18,3/13/18,26700,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,12/18/17,1/16/18,35000,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,11/16/17,11/17/17,19500,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,10/25/17,11/27/17,71500,Department of Defense,BPA CALL,GA,112990
"MACOMO KENNELS, LLC",8/16/17,4/12/18,33241,Department of Agriculture,PURCHASE ORDER,GA,112990
"XTREME CONCEPTS, INC.",4/18/17,6/29/17,0,Department of Agriculture,BPA CALL,GA,112990
TRIPLE F FARMS INC,5/24/18,6/29/18,11855,Department of Health and Human Services,PURCHASE ORDER,GA,112990
"BENJAMIN, CLIF",4/17/18,9/30/18,0,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
WORKING K9 TRAINING & RESEARCH CENTER LLC,4/17/18,9/30/18,71100,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
"GEORGIA K9 NATIONAL TRAINING CENTER, LLC",7/5/18,7/4/19,27259,Department of Veterans Affairs,PURCHASE ORDER,GA,112990
"SDC CONTRACTING, INC.",9/28/18,4/20/20,455260.86,General Services Administration,DEFINITIVE CONTRACT,GA,111120
GEORGIA PECAN FARMS LLC,11/1/18,1/31/19,10167.32,Department of Agriculture,PURCHASE ORDER,GA,111335
GEORGIA PECAN FARMS LLC,11/1/17,3/1/18,32788.04,Department of Agriculture,PURCHASE ORDER,GA,111335
"ROCK SPRING CAPITAL, LLC",4/9/18,5/14/19,28260,Department of the Interior,PURCHASE ORDER,GA,111421
"AGRI-STARTS, INC.",2/20/18,8/10/18,20604.6,Department of Agriculture,PURCHASE ORDER,GA,111422
"PROJECT MANAGER USA, INC.",5/10/18,4/22/19,34726.45,Department of Defense,PURCHASE ORDER,GA,112112
CHRISTON ENTERPRISES INC,1/1/19,6/30/19,63858.87,Department of Justice,PURCHASE ORDER,GA,112120
"CHARLES RIVER LABORATORIES, INC.",8/10/17,9/4/18,151840,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/5/16,9/4/17,146593,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/5/14,9/9/16,270396,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",1/31/14,8/28/14,80192,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",11/25/13,12/26/13,22464,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/10/13,8/28/14,19960,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,8/10/17,9/23/18,138505.8,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,9/24/14,9/23/17,382143.4,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,12/18/13,8/31/14,95975.6,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,8/29/13,10/31/13,11174,Department of Health and Human Services,DELIVERY ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",3/1/16,6/13/16,29097,Department of Agriculture,PURCHASE ORDER,GA,112310
"CHARLES RIVER LABORATORIES, INC.",9/7/18,9/6/19,168532,Department of Health and Human Services,DELIVERY ORDER,GA,112310
J L S RESEARCH,9/24/18,9/23/19,140129.25,Department of Health and Human Services,DELIVERY ORDER,GA,112310
FEDERAL DESIGNS INC,8/13/18,11/30/18,46279,Department of the Interior,PURCHASE ORDER,GA,112390
"JAMBBAS, LLC",12/3/18,12/18/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",10/15/18,10/31/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",8/2/18,8/22/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",7/5/18,7/10/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",4/10/18,5/8/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",3/5/18,3/8/18,0,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",2/21/18,3/9/18,6580,Department of Defense,BPA CALL,GA,112420
"JAMBBAS, LLC",1/19/18,1/25/18,0,Department of Defense,BPA CALL,GA,112420
GEORGIA SELECT FISH FARM LLC,4/25/18,5/21/18,14950,Department of Defense,PURCHASE ORDER,GA,112511
ENVIGO GLOBAL SERVICES INC.,9/22/17,2/28/20,179661.59,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,112930
UNIVERSITY OF WASHINGTON,9/15/17,9/14/19,423422.71,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,112930
DSP RESEARCH SERVICES LLC,9/5/18,9/4/19,70880,Department of Health and Human Services,PURCHASE ORDER,GA,112930
"WORLD WIDE PRIMATES, INC.",8/31/18,5/31/20,158138,Department of Health and Human Services,PURCHASE ORDER,GA,112930
"IK9, LLC",2/16/16,3/12/16,141440,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
TRIPLE F FARMS INC,3/29/18,4/30/18,108404,Department of Health and Human Services,PURCHASE ORDER,GA,112990
ARETE CANINE LLC,9/11/18,9/11/18,17800,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,7/16/18,7/16/18,35600,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,2/28/18,3/13/18,16000,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,2/28/18,3/13/18,26700,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,12/18/17,1/16/18,35000,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,11/16/17,11/17/17,19500,Department of Defense,BPA CALL,GA,112990
ARETE CANINE LLC,10/25/17,11/27/17,71500,Department of Defense,BPA CALL,GA,112990
"MACOMO KENNELS, LLC",8/16/17,4/12/18,33241,Department of Agriculture,PURCHASE ORDER,GA,112990
"XTREME CONCEPTS, INC.",4/18/17,6/29/17,0,Department of Agriculture,BPA CALL,GA,112990
TRIPLE F FARMS INC,5/24/18,6/29/18,11855,Department of Health and Human Services,PURCHASE ORDER,GA,112990
"BENJAMIN, CLIF",4/17/18,9/30/18,0,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
WORKING K9 TRAINING & RESEARCH CENTER LLC,4/17/18,9/30/18,71100,Department of Homeland Security,DEFINITIVE CONTRACT,GA,112990
"GEORGIA K9 NATIONAL TRAINING CENTER, LLC",7/5/18,7/4/19,27259,Department of Veterans Affairs,PURCHASE ORDER,GA,112990
INTERNATIONAL FOREST COMPANY INC,6/30/17,6/30/19,28796.38,Department of Agriculture,DELIVERY ORDER,GA,113210
INTERNATIONAL FOREST COMPANY INC,3/27/17,5/31/20,0,Department of Agriculture,DELIVERY ORDER,GA,113210
INTERNATIONAL FOREST COMPANY INC,9/1/17,3/31/19,56089.17,Department of Agriculture,DELIVERY ORDER,GA,113210
MEEKS FARMS INC,8/13/18,3/15/19,11020,Department of the Interior,PURCHASE ORDER,GA,113210
WILLIAMS FORESTRY & ASSOCIATES,6/15/18,3/29/19,16475.4,Department of the Interior,PURCHASE ORDER,GA,113210
MEEKS FARMS INC,6/21/18,2/15/19,25204,Department of the Interior,PURCHASE ORDER,GA,113210
INTERNATIONAL FOREST COMPANY INC,2/8/18,1/31/19,13466,Department of Agriculture,DELIVERY ORDER,GA,113210
INTERNATIONAL FOREST COMPANY INC,2/9/18,9/30/18,49345,Department of Agriculture,DELIVERY ORDER,GA,113210
INTERNATIONAL FOREST COMPANY INC,3/21/18,3/31/19,101272.62,Department of Agriculture,DELIVERY ORDER,GA,113210
