NAICS2,FIPS/13001/Appling,FIPS/13003/Atkinson,FIPS/13005/Bacon,FIPS/13007/Baker,FIPS/13009/Baldwin,FIPS/13011/Banks,FIPS/13013/Barrow,FIPS/13015/Bartow,FIPS/13017/Ben Hill,FIPS/13019/Berrien,FIPS/13021/Bibb,FIPS/13023/Bleckley,FIPS/13025/Brantley,FIPS/13027/Brooks,FIPS/13029/Bryan,FIPS/13031/Bulloch,FIPS/13033/Burke,FIPS/13035/Butts,FIPS/13037/Calhoun,FIPS/13039/Camden,FIPS/13043/Candler,FIPS/13045/Carroll,FIPS/13047/Catoosa,FIPS/13049/Charlton,FIPS/13051/Chatham,FIPS/13053/Chattahoochee,FIPS/13055/Chattooga,FIPS/13057/Cherokee,FIPS/13059/Clarke,FIPS/13061/Clay,FIPS/13063/Clayton,FIPS/13065/Clinch,FIPS/13067/Cobb,FIPS/13069/Coffee,FIPS/13071/Colquitt,FIPS/13073/Columbia,FIPS/13075/Cook,FIPS/13077/Coweta,FIPS/13079/Crawford,FIPS/13081/Crisp,FIPS/13083/Dade,FIPS/13085/Dawson,FIPS/13087/Decatur,FIPS/13089/De Kalb,FIPS/13091/Dodge,FIPS/13093/Dooly,FIPS/13095/Dougherty,FIPS/13097/Douglas,FIPS/13099/Early,FIPS/13101/Echols,FIPS/13103/Effingham,FIPS/13105/Elbert,FIPS/13107/Emanuel,FIPS/13109/Evans,FIPS/13111/Fannin,FIPS/13113/Fayette,FIPS/13115/Floyd,FIPS/13117/Forsyth,FIPS/13119/Franklin,FIPS/13121/Fulton,FIPS/13123/Gilmer,FIPS/13125/Glascock,FIPS/13127/Glynn,FIPS/13129/Gordon,FIPS/13131/Grady,FIPS/13133/Greene,FIPS/13135/Gwinnett,FIPS/13137/Habersham,FIPS/13139/Hall,FIPS/13141/Hancock,FIPS/13143/Haralson,FIPS/13145/Harris,FIPS/13147/Hart,FIPS/13149/Heard,FIPS/13151/Henry,FIPS/13153/Houston,FIPS/13155/Irwin,FIPS/13157/Jackson,FIPS/13159/Jasper,FIPS/13161/Jeff Davis,FIPS/13163/Jefferson,FIPS/13165/Jenkins,FIPS/13167/Johnson,FIPS/13169/Jones,FIPS/13171/Lamar,FIPS/13173/Lanier,FIPS/13175/Laurens,FIPS/13177/Lee,FIPS/13179/Liberty,FIPS/13181/Lincoln,FIPS/13183/Long,FIPS/13185/Lowndes,FIPS/13187/Lumpkin,FIPS/13189/McDuffie,FIPS/13191/McIntosh,FIPS/13193/Macon,FIPS/13195/Madison,FIPS/13197/Marion,FIPS/13199/Meriwether,FIPS/13201/Miller,FIPS/13205/Mitchell,FIPS/13207/Monroe,FIPS/13209/Montgomery,FIPS/13211/Morgan,FIPS/13213/Murray,FIPS/13215/Muscogee,FIPS/13217/Newton,FIPS/13219/Oconee,FIPS/13221/Oglethorpe,FIPS/13223/Paulding,FIPS/13225/Peach,FIPS/13227/Pickens,FIPS/13229/Pierce,FIPS/13231/Pike,FIPS/13233/Polk,FIPS/13235/Pulaski,FIPS/13237/Putnam,FIPS/13239/Quitman,FIPS/13241/Rabun,FIPS/13243/Randolph,FIPS/13245/Richmond,FIPS/13247/Rockdale,FIPS/13249/Schley,FIPS/13251/Screven,FIPS/13253/Seminole,FIPS/13255/Spalding,FIPS/13257/Stephens,FIPS/13259/Stewart,FIPS/13261/Sumter,FIPS/13263/Talbot,FIPS/13265/Taliaferro,FIPS/13267/Tattnall,FIPS/13269/Taylor,FIPS/13271/Telfair,FIPS/13273/Terrell,FIPS/13275/Thomas,FIPS/13277/Tift,FIPS/13279/Toombs,FIPS/13281/Towns,FIPS/13283/Treutlen,FIPS/13285/Troup,FIPS/13287/Turner,FIPS/13289/Twiggs,FIPS/13291/Union,FIPS/13293/Upson,FIPS/13295/Walker,FIPS/13297/Walton,FIPS/13299/Ware,FIPS/13301/Warren,FIPS/13303/Washington,FIPS/13305/Wayne,FIPS/13307/Webster,FIPS/13309/Wheeler,FIPS/13311/White,FIPS/13313/Whitfield,FIPS/13315/Wilcox,FIPS/13317/Wilkes,FIPS/13319/Wilkinson,FIPS/13321/Worth
11,34,9,33,18,3,14,7,18,12,17,12,12,17,39,6,26,29,3,22,4,12,11,5,15,13,0,6,22,7,10,3,36,12,41,72,8,25,10,15,25,2,7,46,4,9,21,34,4,29,16,22,6,17,13,2,4,16,17,9,36,5,3,6,18,37,17,21,14,24,1,5,8,12,10,6,22,14,20,7,19,35,9,6,8,11,11,12,21,5,11,3,30,4,9,3,18,12,9,19,16,58,15,13,19,7,12,7,18,18,4,16,9,31,6,3,14,17,2,6,23,8,3,2,15,20,5,2,7,40,6,2,38,5,10,15,57,43,31,2,5,7,8,6,6,5,5,18,23,2,8,23,6,15,11,8,9,18,5,33
21,0,1,1,0,0,0,1,6,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,1,2,0,0,3,2,0,2,0,5,0,0,1,1,1,2,1,0,0,1,5,0,0,0,2,0,0,2,14,0,0,0,3,1,4,0,8,3,0,2,0,0,2,9,1,3,1,0,0,0,0,5,1,0,1,0,0,7,0,0,1,0,0,1,1,0,0,1,1,1,3,1,1,3,1,0,0,1,2,0,0,2,3,0,1,9,2,0,2,0,1,2,0,0,0,1,0,2,0,0,0,0,1,1,0,3,4,0,0,1,0,0,2,0,0,2,0,1,0,2,3,0,0,3,0,3,6,0,1,0,0,4,0,1,11,0
22,4,0,1,0,3,0,3,3,1,1,6,0,0,2,2,4,3,3,0,2,2,5,1,1,12,1,3,5,5,0,11,2,20,3,3,3,2,6,0,0,1,2,3,21,1,1,7,1,1,1,4,0,0,0,1,4,5,4,2,58,2,0,9,1,1,2,14,4,6,2,1,1,5,5,5,6,1,3,0,2,5,1,0,2,3,0,3,0,5,1,0,11,4,2,0,1,2,0,1,0,1,6,0,1,1,8,3,2,1,1,0,2,0,2,3,1,6,0,5,1,7,7,0,0,1,0,1,1,2,1,0,2,4,0,0,5,3,5,1,0,1,0,0,3,3,0,3,4,0,1,5,0,1,2,3,1,1,1,1
23,34,2,13,1,52,29,152,242,14,22,220,11,33,18,73,139,30,34,5,86,20,213,81,13,548,13,25,715,149,4,210,7,1629,60,77,303,28,233,21,23,16,61,46,853,16,6,123,287,11,5,101,33,19,20,55,324,103,641,29,1548,53,1,213,79,43,32,2276,77,452,2,51,70,49,23,332,170,12,173,31,7,28,10,5,53,20,9,89,69,58,20,13,231,54,39,17,7,73,6,33,10,32,61,7,52,25,269,200,114,34,357,49,91,55,45,62,10,68,0,74,10,301,223,7,22,6,109,50,3,29,11,0,35,10,10,11,108,66,34,35,5,129,4,10,72,31,53,292,57,5,23,66,0,5,79,129,10,12,19,25
31-33,26,11,14,0,24,15,64,143,29,13,139,7,14,7,17,45,12,6,2,25,6,118,64,11,225,2,22,202,97,0,118,7,628,52,47,60,26,102,9,19,19,24,35,487,14,8,74,105,8,1,27,80,31,18,28,121,112,250,32,963,34,0,77,113,28,18,912,56,254,2,36,17,28,12,92,70,6,74,17,22,33,5,7,12,11,6,45,18,22,4,1,105,30,28,2,15,23,5,16,6,18,17,5,22,61,137,95,34,15,62,23,38,10,10,34,4,25,3,20,2,132,83,7,16,6,59,53,2,28,0,2,13,7,8,9,77,34,32,10,3,101,8,2,31,20,47,59,37,4,17,34,1,0,35,277,2,13,9,10
42,24,7,9,3,21,12,72,140,19,15,187,6,7,29,27,59,29,18,7,23,11,103,41,8,372,1,12,398,103,2,233,8,1796,46,64,86,13,144,4,35,7,29,30,1065,16,11,113,156,14,3,26,52,20,7,30,269,79,503,28,2692,26,1,85,77,27,23,2390,47,297,1,21,21,20,6,156,62,6,101,6,16,13,2,7,11,9,2,43,27,14,6,0,132,18,15,9,13,14,1,12,10,24,19,8,22,24,143,85,58,5,97,26,42,17,14,24,7,19,0,5,8,182,113,6,5,12,63,29,3,32,3,1,13,2,14,16,80,72,38,6,6,76,17,2,20,12,34,107,46,6,15,7,2,3,22,216,3,10,7,17
44-45,79,25,43,8,163,52,150,292,68,48,730,38,33,39,82,252,58,72,16,143,50,354,177,30,1229,10,69,554,478,9,678,26,2145,192,194,292,58,338,18,114,58,170,114,2070,61,35,415,372,52,6,99,72,77,52,117,376,346,524,92,3477,86,5,420,197,75,62,2570,150,555,16,78,39,73,18,569,444,31,211,21,58,58,20,22,46,38,17,208,71,181,20,9,481,72,72,34,37,52,16,64,26,83,64,22,64,85,724,212,85,17,256,98,89,57,31,128,38,74,10,72,25,719,261,8,45,36,201,93,16,121,11,2,58,22,41,36,225,213,142,54,25,251,35,14,89,80,130,195,188,14,64,105,7,13,115,400,21,43,21,49
48-49,18,10,24,3,16,13,36,74,10,10,115,6,19,13,35,49,17,32,13,17,6,61,24,9,429,3,10,107,50,4,420,8,427,37,48,50,17,89,7,27,7,14,23,379,18,15,76,107,14,5,47,23,20,10,24,97,52,89,21,877,16,5,66,47,18,19,613,20,154,3,22,20,9,6,198,45,7,63,8,16,19,7,8,18,16,4,38,12,33,7,4,71,18,14,12,7,17,5,19,10,18,25,13,18,15,96,74,20,12,70,19,18,19,16,17,4,12,4,10,11,109,69,1,13,18,43,13,8,26,10,3,19,11,16,11,38,43,18,8,7,55,11,7,25,14,20,58,30,11,22,21,7,7,18,89,11,15,16,12
51,5,0,3,0,6,2,15,13,6,3,61,0,3,4,8,11,4,3,0,10,5,21,12,1,94,2,5,89,48,1,36,4,401,9,8,22,3,40,1,5,3,7,6,393,5,0,27,25,2,0,4,4,6,4,4,53,19,103,7,1234,7,0,33,9,3,9,442,10,38,2,4,7,9,2,35,27,2,13,2,2,3,0,0,5,5,1,13,4,9,0,0,25,7,5,2,2,3,2,3,1,3,5,0,7,1,48,29,14,2,20,5,11,5,4,8,2,5,0,4,2,54,23,0,3,2,8,8,1,11,0,1,4,3,4,3,12,9,9,4,0,20,1,1,3,5,6,23,8,1,5,10,1,2,14,14,1,3,3,2
52,22,5,16,2,46,5,55,107,23,16,258,10,6,15,25,82,19,24,6,51,16,133,53,10,458,3,18,336,143,2,166,5,1284,54,50,128,17,148,5,38,14,28,45,819,15,12,140,119,17,1,40,25,23,8,35,193,107,289,28,2758,30,1,141,53,25,34,1309,51,265,3,25,14,22,7,203,134,8,58,10,14,18,9,8,24,11,5,50,30,44,5,3,138,25,26,6,11,16,4,17,10,19,22,7,27,20,289,67,70,5,88,24,41,16,11,37,13,22,3,17,7,207,98,1,14,14,76,36,4,37,4,2,15,9,12,15,89,83,37,18,5,74,17,1,31,31,42,85,52,3,22,28,3,2,22,114,7,12,6,15
