"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"1","11",317,63,246,128,11,415,35,90,359,196,127,73,84,423,15,590,802,20,125,22,62,174,31,97,2700,0,49,75,1020,46,77,222,45,536,1012,32,143,200,94,193,13,26,506,87,37,114,319,56,208,344,177,37,108,91,11,32,108,114,160,153,26,22,114,192,629,137,1178,127,1099,11,20,16,98,87,66,229,157,307,78,307,271,19,48,58,66,87,97,189,53,96,34,1009,37,310,17,141,34,72,116,61,350,202,100,148,47,59,42,162,176,5,413,68,233,21,42,139,312,7,37,259,766,52,10,232,260,32,19,73,479,30,6,767,17,106,124,535,572,676,0,37,103,95,25,60,13,14,106,228,15,69,106,23,133,190,113,51,109,69,246
"2","21",0,5,18,0,9,0,14,120,0,0,49,0,10,0,0,52,0,0,13,0,0,67,28,14,835,0,0,46,675,0,121,0,84,0,0,19,44,53,31,18,0,0,26,162,0,0,0,98,0,0,19,126,0,0,0,36,15,76,0,198,36,0,88,0,0,42,1252,23,296,25,0,0,0,0,72,25,0,36,0,0,353,0,0,0,0,0,19,0,31,0,21,85,29,27,14,18,33,17,0,0,14,63,0,0,24,51,0,23,78,28,0,45,0,8,39,0,0,0,13,0,507,0,0,0,0,0,22,0,84,106,0,0,10,0,0,43,0,0,43,0,68,0,19,70,0,0,18,0,71,205,0,14,0,0,151,0,15,899,0
"3","22",179,0,31,0,46,0,72,175,0,29,258,0,18,11,28,356,337,81,0,22,47,177,25,24,413,26,43,53,156,0,1165,19,976,71,104,49,50,374,0,31,26,62,134,908,37,74,89,113,37,24,131,0,0,0,22,95,242,133,39,3072,42,0,696,45,45,74,461,198,160,43,0,27,140,129,332,254,29,188,0,29,110,41,0,67,87,0,98,0,167,23,0,146,35,52,0,0,32,0,20,30,24,274,0,17,0,218,84,77,22,71,0,78,0,28,67,19,119,0,48,0,215,134,0,0,13,0,38,0,97,10,0,77,52,0,0,150,134,127,37,0,59,0,0,13,46,0,165,53,0,41,33,0,34,78,185,0,26,41,21
"4","23",425,6,23,0,370,197,1279,1862,56,55,2126,200,196,71,635,1154,740,218,29,420,202,2450,643,56,6276,92,192,4919,1685,16,3404,29,26772,967,479,2385,236,1582,102,151,91,247,247,10937,155,65,1687,1950,109,32,1006,172,138,169,283,3201,875,6489,137,19672,214,7,1457,777,228,796,21424,420,4235,28,475,388,270,139,1987,1173,145,1082,121,20,206,45,54,490,73,35,785,712,437,176,40,2594,367,392,58,27,342,45,408,44,90,437,46,246,118,3201,1519,616,189,2125,479,397,358,440,296,37,356,0,327,22,3280,3464,31,128,17,520,425,29,170,212,0,247,58,71,58,455,560,436,137,15,1616,9,33,256,187,249,2490,472,23,247,651,0,29,680,1120,33,177,278,113
"5","31-33",671,1166,969,0,1291,367,2154,10109,1115,1163,6026,83,143,213,778,2097,461,1187,43,928,84,7531,1523,326,15797,52,2813,5380,6087,0,4386,823,18851,3499,2905,2862,531,5360,21,1036,1125,992,848,13450,462,438,3362,4137,798,24,1554,1637,1483,1948,591,4307,6365,7977,1428,30848,1381,30,2008,8308,1106,515,28162,3889,20646,43,1893,1146,2082,575,2974,5496,197,5743,457,1290,926,67,123,42,623,167,2651,408,2303,32,35,4035,704,1656,11,576,228,115,1195,30,2114,196,130,1169,3511,6677,4232,642,160,1062,2823,865,371,488,3601,74,720,46,377,183,7863,4287,352,822,183,2523,2274,86,1365,0,23,190,70,296,226,2496,1330,1590,371,38,11332,272,33,356,1253,4631,3116,2173,385,490,1229,24,0,857,21265,30,566,155,232
"6","42",239,93,64,15,108,328,1993,2094,136,144,2338,87,261,570,92,1312,790,104,65,312,139,1333,252,67,5440,7,109,2073,2269,9,6277,98,23378,604,450,545,76,1649,32,447,51,264,465,10734,209,166,1605,2252,311,29,247,571,280,49,263,2304,1403,5255,286,37373,137,8,1466,1309,153,241,30416,253,4343,12,263,149,91,40,3501,638,30,1554,43,211,143,21,32,96,36,19,347,451,34,47,0,1270,111,102,111,87,28,8,70,160,186,242,172,590,446,2063,1321,1414,23,424,190,137,431,144,245,217,155,0,23,38,2829,1206,82,12,81,787,186,34,428,18,3,365,9,104,224,929,1211,653,59,43,1115,288,9,169,43,260,1520,424,48,138,80,12,26,237,3842,12,81,74,237
"7","44-45",1213,132,344,30,2268,649,3572,4221,719,377,10587,411,221,278,1410,3382,840,950,121,2129,445,5028,3311,223,19487,63,739,10992,8682,45,10589,153,41063,1943,1975,5879,601,6540,85,1223,498,3262,1288,33497,700,269,5913,7591,443,55,1185,626,768,406,1306,6785,5300,9218,920,62858,1178,27,5182,2234,754,693,49463,1887,9019,88,673,292,944,92,10249,7632,213,2896,228,556,598,147,179,462,430,219,2518,802,2832,164,145,6764,975,892,250,215,437,96,432,166,761,857,150,1008,1000,11531,3117,1457,116,4679,930,1220,552,346,1729,306,763,43,1000,215,10911,4666,70,388,228,2725,1215,48,1377,34,9,551,160,318,351,2258,2682,1713,407,183,3487,283,88,1141,963,1343,2664,2450,98,687,1117,64,59,1243,4948,129,362,155,478
"8","48-49",463,86,417,7,193,75,678,2622,358,193,3625,152,237,79,244,1491,805,960,61,296,119,2331,608,150,13591,41,125,1652,2691,32,43206,83,13862,1545,1070,650,235,1147,50,509,112,325,623,14436,388,484,1786,4694,251,18,587,146,239,167,357,2382,752,2946,990,48627,268,85,3693,1235,421,269,10211,512,3495,77,179,416,89,47,4992,754,96,3529,54,292,300,50,87,198,106,70,874,132,982,113,86,3434,173,207,67,129,157,70,231,137,276,415,120,204,194,2018,1512,429,44,1672,651,385,284,142,391,55,335,64,63,150,3033,615,8,84,162,419,371,165,437,51,17,434,130,110,107,871,1210,293,70,63,2638,57,1664,390,109,242,2122,709,148,630,292,119,48,384,3069,164,235,370,153
"9","51",44,0,53,0,61,11,78,207,55,13,1053,0,20,19,37,265,29,20,0,98,95,629,123,14,2059,15,27,726,2151,10,746,45,11960,105,78,270,43,484,15,43,28,76,74,9641,41,0,791,252,43,0,28,36,53,25,23,453,641,980,144,54310,96,0,354,72,39,88,8241,451,580,48,36,27,171,14,431,217,33,190,40,34,34,0,12,19,27,20,175,34,83,0,0,1654,28,83,27,36,28,33,34,17,42,19,0,71,12,1169,406,131,24,162,46,53,17,40,60,32,57,0,35,20,1810,818,0,43,15,121,93,24,93,0,7,32,29,22,45,79,206,86,65,0,582,16,9,69,46,66,156,153,17,40,73,14,38,97,152,8,43,70,24
"10","52",127,39,123,16,318,13,257,596,123,104,8066,120,20,81,250,521,125,92,37,475,198,623,468,68,2957,22,79,1500,2097,10,1472,27,15611,286,417,594,91,699,38,212,105,163,316,14303,119,51,1039,653,168,7,149,303,178,57,200,954,832,1604,119,55218,129,9,719,420,131,189,14491,327,2566,37,161,70,146,20,1066,1094,64,323,45,80,100,81,47,65,113,52,450,124,351,48,20,1013,104,129,13,49,91,41,78,90,129,151,54,181,157,9896,455,355,45,352,111,227,97,63,145,63,134,9,115,45,1580,1056,6,99,63,431,177,49,215,50,3,160,43,91,94,701,432,311,57,34,985,76,9,148,189,454,457,332,17,175,212,21,19,121,587,30,97,69,90
