PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category,,
AA11 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH)),AA11,17,Research and Development,17.3,Technology Base,,
AA12 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA12,17,Research and Development,17.3,Technology Base,,
AA13 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ADVANCED DEVELOPMENT)),AA13,17,Research and Development,17.1,Systems Development,,
AA14 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ENGINEERING DEVELOPMENT)),AA14,17,Research and Development,17.1,Systems Development,,
AA15 R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT),AA15,17,Research and Development,17.2,Operational Systems Development,,
AA17 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (COMMERCIALIZED)),AA17,17,Research and Development,17.4,Commericalization,,
AA21 (R&D- AGRICULTURE: MARKETING (BASIC RESEARCH)),AA21,17,Research and Development,17.3,Technology Base,,
AA22 R&D- AGRICULTURE: MARKETING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AA22,17,Research and Development,17.3,Technology Base,,
AA23 (R&D- AGRICULTURE: MARKETING (ADVANCED DEVELOPMENT)),AA23,17,Research and Development,17.1,Systems Development,,
AA24 (R&D- AGRICULTURE: MARKETING (ENGINEERING DEVELOPMENT)),AA24,17,Research and Development,17.1,Systems Development,,
AA25 R&D- AGRICULTURE: MARKETING (OPERATIONAL SYSTEMS DEVELOPMENT),AA25,17,Research and Development,17.2,Operational Systems Development,,
AA27 (R&D- AGRICULTURE: MARKETING (COMMERCIALIZED)),AA27,17,Research and Development,17.4,Commericalization,,
AA31 (R&D- AGRICULTURE: PRODUCTION (BASIC RESEARCH)),AA31,17,Research and Development,17.3,Technology Base,,
AA32 (R&D- AGRICULTURE: PRODUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA32,17,Research and Development,17.3,Technology Base,,
AA33 R&D- AGRICULTURE: PRODUCTION (ADVANCED DEVELOPMENT),AA33,17,Research and Development,17.1,Systems Development,,
AA34 (R&D- AGRICULTURE: PRODUCTION (ENGINEERING DEVELOPMENT)),AA34,17,Research and Development,17.1,Systems Development,,
AA35 R&D- AGRICULTURE: PRODUCTION (OPERATIONAL SYSTEMS DEVELOPMENT),AA35,17,Research and Development,17.2,Operational Systems Development,,
AA37 R&D- AGRICULTURE: PRODUCTION (COMMERCIALIZED),AA37,17,Research and Development,17.4,Commericalization,,
AA91 (R&D- AGRICULTURE: OTHER (BASIC RESEARCH)),AA91,17,Research and Development,17.3,Technology Base,,
AA92 (R&D- AGRICULTURE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA92,17,Research and Development,17.3,Technology Base,,
AA93 (R&D- AGRICULTURE: OTHER (ADVANCED DEVELOPMENT)),AA93,17,Research and Development,17.1,Systems Development,,
AA94 (R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT)),AA94,17,Research and Development,17.1,Systems Development,,
AA95 (R&D- AGRICULTURE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AA95,17,Research and Development,17.2,Operational Systems Development,,
AA97 (R&D- AGRICULTURE: OTHER (COMMERCIALIZED)),AA97,17,Research and Development,17.4,Commericalization,,
AB11 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH)),AB11,17,Research and Development,17.3,Technology Base,,
AB12 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB12,17,Research and Development,17.3,Technology Base,,
AB13 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ADVANCED DEVELOPMENT)),AB13,17,Research and Development,17.1,Systems Development,,
AB14 R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ENGINEERING DEVELOPMENT),AB14,17,Research and Development,17.1,Systems Development,,
AB15 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)),AB15,17,Research and Development,17.2,Operational Systems Development,,
AB17 R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (COMMERCIALIZED),AB17,17,Research and Development,17.4,Commericalization,,
AB21 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (BASIC RESEARCH)),AB21,17,Research and Development,17.3,Technology Base,,
AB22 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB22,17,Research and Development,17.3,Technology Base,,
AB23 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ADVANCED DEVELOPMENT)),AB23,17,Research and Development,17.1,Systems Development,,
