GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13000,Georgia,1,All industry total,592153379,566473559,539525119,513565610,485816667,460585110,444132238,429574045,416883808,407024549,412911866,415131908
13000,Georgia,2,  Private industries,523376183,499895947,475166579,449828160,424787917,400899674,384521697,370309520,358388212,350415592,358711495,361965122
13000,Georgia,3,"    Agriculture, forestry, fishing and hunting",3996523,4075187,3477857,4173185,3808851,4395812,4205784,3480611,3123155,3511372,3780829,3501448
13000,Georgia,6,"    Mining, quarrying, and oil and gas extraction",1336630,1246974,987021,881529,956992,952750,960748,1100091,1227685,1194716,1279059,1494185
13000,Georgia,10,    Utilities,10995387,10680688,10404010,9801092,9711363,9257546,9176300,9683407,9046547,8584747,7659566,7282605
13000,Georgia,11,    Construction,24787144,22727753,21185746,18882740,15725797,13250145,13463881,13821540,14244815,15110260,18617338,22023398
13000,Georgia,12,    Manufacturing,63316847,59969814,58288698,55080700,52572170,50042174,48269342,47385234,45454439,44994238,44816121,47041162
13000,Georgia,13,      Durable goods manufacturing,30240456,28278876,26876977,25492634,24366479,23163338,21641518,19922113,18683657,16340826,18693779,19700333
13000,Georgia,25,      Nondurable goods manufacturing,33076391,31690939,31411722,29588065,28205691,26878835,26627825,27463122,26770782,28653411,26122343,27340829
13000,Georgia,34,    Wholesale trade,45041645,43151216,42192489,40919816,38580611,36616390,34807063,32985086,32483563,31019701,33467176,33164835
13000,Georgia,35,    Retail trade,31969739,30942140,30201068,29075879,27307316,26565430,25453565,24439210,23844974,23567822,24866512,25396567
13000,Georgia,36,    Transportation and warehousing,25263051,25042550,23945854,22232406,20124843,19351272,18281458,17037271,16289906,15369062,15903133,16004830
13000,Georgia,45,    Information,46181403,46476037,42774880,38172470,35874589,33961527,32071569,33005495,32723877,31252998,32646206,35677455
